SEX,EDUCATION,MARRIAGE,AGE,max_backlog_month,balance_to_credit,default payment next month
female,2,married,24,2,0.19565,1
female,2,single,26,2,0.028791666666666667,1
female,2,single,34,0,0.3080111111111111,0
female,2,married,37,0,0.96182,0
male,2,married,57,0,0.5167,0
male,1,single,37,0,1.238,0
male,1,single,29,0,1.044828,0
female,2,single,23,0,0.11496,0
female,3,married,28,2,0.10068571428571428,0
male,3,single,35,-1,0.6956,0
female,3,single,34,2,0.048875,0
female,1,single,51,2,0.08571923076923077,0
female,2,single,41,0,0.01767777777777778,0
male,2,single,30,2,0.9624142857142857,1
male,1,single,29,0,0.271548,0
female,3,others,23,2,1.01228,0
male,1,single,24,2,0.9552,1
male,1,married,49,0,0.75915,0
female,1,married,49,1,0.0,0
female,1,single,29,1,0.0,0
female,3,single,39,0,0.2719846153846154,0
female,2,married,39,-1,0.0026333333333333334,1
female,2,single,26,2,0.6700714285714285,1
female,1,married,40,-2,0.03988222222222222,1
male,1,single,23,0,0.07855555555555556,0
male,3,single,23,0,0.91294,0
male,1,single,27,1,0.004316666666666667,1
female,3,single,30,0,0.42482,0
female,3,married,47,-1,0.60346,0
male,1,single,26,0,0.33814,0
female,1,single,27,-1,0.16053478260869566,0
male,2,single,33,2,0.576,1
male,1,single,32,0,0.90013,0
female,2,married,54,-2,0.140916,0
male,1,married,58,-2,0.0559,0
male,1,single,30,-1,0.1883375,0
male,2,married,40,0,0.6374178571428571,0
female,2,single,22,0,0.3007166666666667,0
male,1,single,25,1,0.0156,1
male,1,single,31,2,0.032410714285714286,0
male,1,single,33,0,1.2218305555555555,0
female,1,single,25,0,0.9217285714285715,0
male,2,single,22,0,0.5003,0
female,2,married,37,0,0.47715714285714284,0
female,1,single,30,2,0.729925,0
male,1,single,29,-2,0.0,1
female,1,single,22,2,0.83375,1
female,5,single,46,0,0.023,1
male,2,single,32,-1,0.05307105263157895,0
male,1,single,24,0,0.9784,0
male,3,single,42,2,0.5631857142857143,1
female,3,others,43,0,0.59559,0
female,2,married,49,-2,0.024648387096774194,0
female,1,single,25,2,0.24276111111111112,0
female,1,single,29,2,0.29749333333333333,0
female,1,married,45,-2,0.006956,0
female,3,married,34,0,0.07940555555555555,0
female,2,married,34,0,0.9322388888888888,0
female,1,single,34,3,0.007935,0
female,2,married,29,0,0.95957,0
female,3,married,28,0,0.044676,1
male,2,married,39,0,0.9995,0
male,1,single,29,2,0.56528,1
female,2,married,46,0,0.58332,1
